id,openai_ai_digital_score,openai_ai_digital_keywords,openai_ai_digital_reason,score_version
11.0,1.0,"CAD, 常用办公软件, 计算机辅助设计",岗位要求熟练使用CAD和常用办公软件，属于基础数字化/IT工具使用，但没有数据分析、编程或AI相关内容。,expert_prompt_v1_one_ad_per_request
12.0,1.0,系统测试、基础数据分析能力、运营服务、报错处理,职位包含系统测试、报错处理和基础数据分析，属于基础数字化/IT相关工作，但没有AI、机器学习或大数据等更强技术内容。,expert_prompt_v1_one_ad_per_request
13.0,0.0,财务基础知识；银行信贷业务；资金统筹调配；转贷相关工作,岗位以财务、融资和银行信贷业务为主，没有出现软件、数据分析、自动化、AI等数字技术相关内容。,expert_prompt_v1_one_ad_per_request
14.0,1.0,熟练使用各类办公软件,岗位主要是行政内勤与办公事务，只有基础数字化/IT工具使用要求（办公软件），没有数据分析、编程或AI相关内容。,expert_prompt_v1_one_ad_per_request
15.0,0.0,"产品支持, 解决方案",岗位内容主要是保单售后整理和客户支持，未出现软件、数据、系统、自动化或人工智能等数字技术相关要求，属于非AI/数字化岗位。,expert_prompt_v1_one_ad_per_request
16.0,0.0,,岗位内容主要是农险理赔、现场调查、沟通服务和流程执行，没有出现软件、数据、自动化、AI等数字技术相关要求。,expert_prompt_v1_one_ad_per_request
17.0,0.0,质量管理、质量记录、质量检验、质量改进分析,岗位内容聚焦传统质量检验、质量管理和供应商评价，没有提到软件、数据分析、自动化或AI相关技术。,expert_prompt_v1_one_ad_per_request
18.0,0.0,招聘、招聘规划、校园招聘、人才储备、猎头,岗位内容主要是人力资源招聘与校招管理，没有涉及软件、数据、自动化、AI或其他数字技术相关要求，因此判为0。,expert_prompt_v1_one_ad_per_request
20.0,0.0,"渠道销售, 市场营销, 经销商管理, 竞品信息收集",岗位内容主要是渠道销售、经销商管理和市场营销，没有出现软件、数据、自动化或人工智能等数字技术相关要求，属于非AI/非数字技术岗位。,expert_prompt_v1_one_ad_per_request
21.0,0.0,半导体晶圆生产、光刻、薄膜、刻蚀、湿法、产线生产、产品质量、洁净室6S,岗位内容是半导体制造工艺与产线操作，属于传统制造/工艺技术，不涉及软件、数据分析、自动化系统或人工智能相关内容。,expert_prompt_v1_one_ad_per_request
22.0,1.0,"财务软件, 会计报表处理, 记账登账, 财务分析",岗位主要是传统财务会计职责，包含熟练使用财务软件等基础数字化工具要求，但没有数据分析、编程或AI相关内容，因此评为1分。,expert_prompt_v1_one_ad_per_request
23.0,2.0,"算法工程师, 控制算法设计, 算法实现, C/C++, Python, 实时系统, 自动控制编程, 控制系统仿真分析",岗位明确涉及算法设计与实现，并要求C/C++/Python编程、控制系统仿真和自动控制，属于较强的数据/算法类数字技术内容；但未出现人工智能、机器学习、深度学习等明确AI表述。,expert_prompt_v1_one_ad_per_request
24.0,0.0,"市场销售, 市场渠道, 客户关系, 订单跟踪, 市场信息",岗位内容是功能食品销售与渠道拓展，属于传统销售/市场类工作，没有AI、数据分析、软件系统或其他数字技术要求。,expert_prompt_v1_one_ad_per_request
25.0,1.0,"自动化, 电脑办公软件, 生产流程, SOP, 不良品分析, 良率提升, 效率提升, 工艺优化",岗位主要是制造工艺与生产改善，包含自动化、办公软件和流程优化等基础数字/IT或工业自动化内容，但没有数据分析、算法或AI相关要求，因此判为1。,expert_prompt_v1_one_ad_per_request
26.0,1.0,电脑操作、Microsoft Office、ERP软件、订单审核、工艺卡制作,岗位主要是工艺与订单审核类工作，涉及办公软件和ERP系统的日常使用，属于基础数字化/IT应用，但没有数据分析、编程或AI相关内容。,expert_prompt_v1_one_ad_per_request
27.0,0.0,无明显AI/数字化关键词；主要为安全管理、环保、消防、合规、巡检、培训、证照办理、事故调查,该岗位内容集中在传统EHS安全环保与消防管理，涉及制度、检查、整改、报告和证照办理，没有数据分析、软件系统、自动化、AI或数字化转型相关要求。,expert_prompt_v1_one_ad_per_request
29.0,0.0,,职位描述仅为制造业生产计划相关，未出现软件、数据、自动化、AI等数字技术信号，判定为无AI/数字技术内容。,expert_prompt_v1_one_ad_per_request
30.0,1.0,数字运营、行业人工智能服务、CAD、天正软件,岗位主体是室内设计，但描述中提到公司Tech模块包含数字运营和行业人工智能服务，且任职要求涉及CAD、天正等设计软件，属于基础数字/IT工具使用，未体现AI岗位职责。,expert_prompt_v1_one_ad_per_request
31.0,1.0,"ERP, MES, 供应链管理, 生产计划, 流程优化, 系统",岗位以生产运营和计划管理为主，包含ERP/MES等企业信息系统与流程优化要求，但没有数据分析、算法或AI相关内容，属于基础数字化/IT应用。,expert_prompt_v1_one_ad_per_request
32.0,1.0,PR、AE、PS、短视频剪辑、拍摄设备、视频制作、特效调色,岗位主要是摄像和视频剪辑实习，涉及常见数字创作软件和多媒体制作工具，但没有数据分析、算法或人工智能相关内容，属于基础数字/IT应用。,expert_prompt_v1_one_ad_per_request
33.0,0.0,"证券法, 公司法, 上市规则, 董事会秘书资格证书, 证券从业资格证书",岗位主要是证券事务和法务合规相关，涉及法律法规与证券业务资格要求，没有AI、数据分析、软件系统或数字化技术内容。,expert_prompt_v1_one_ad_per_request
34.0,0.0,,岗位内容主要是车间生产管理、质量控制、计划安排和安全管理，没有出现软件、数据、自动化、AI等数字技术相关要求。,expert_prompt_v1_one_ad_per_request
35.0,0.0,"市场拓展, 客户关系, 市场营销, 招投标, 谈判, 客户服务",岗位内容主要是市场拓展、客户维护、商务谈判和物业行业知识，没有出现软件、数据分析、自动化或AI相关技术要求。,expert_prompt_v1_one_ad_per_request
36.0,1.0,系统预估录入,岗位主要是车物查勘定损与理赔服务，未涉及AI或数据分析；仅提到将案件损失进行系统预估录入，属于基础系统/信息化操作，因此判为1分。,expert_prompt_v1_one_ad_per_request
37.0,0.0,,岗位为药品QA，职责集中在取样、洁净区环境监测、生产监督、批记录审核和GMP质量管理，未体现任何AI、数据分析、软件系统或数字化技术要求。,expert_prompt_v1_one_ad_per_request
38.0,0.0,"OEE, TPM, 点检定修, 预防性维修, 维修管理, 设备故障根本原因分析",该岗位主要是重工/冶金设备维修与管理，涉及设备可靠性、OEE和TPM等现代维修管理方法，但没有AI、数据分析工具或明显的软件/数字化技术要求，属于非AI/低数字化内容。,expert_prompt_v1_one_ad_per_request
39.0,0.0,生产计划、生产调度、生产统计、订单相关工作,岗位内容主要是电镀车间的生产管理、计划安排、进度控制和人员管理，没有出现AI、数据分析、软件系统、自动化或其他数字技术相关要求。,expert_prompt_v1_one_ad_per_request
40.0,1.0,数据进行检测、整理、分析；线上/线下宣传渠道；流程优化；校园招聘系统/数字化招聘（隐含）,岗位以校园招聘和雇主品牌为主，没有AI或高级数据技能要求；仅提到对校招数据进行整理分析和线上线下渠道运营，属于基础数字化/IT相关内容。,expert_prompt_v1_one_ad_per_request
41.0,0.0,"图纸评审, 产品工艺方案, 报价, 现场工艺指导, 机械加工, 压铸",岗位内容主要是机械加工与工艺技术支持、样品打样和现场指导，没有出现软件、数据、自动化、AI或其他数字技术相关要求。,expert_prompt_v1_one_ad_per_request
42.0,0.0,"审计制度, 审计报告, 现场审计, 审计证据, 资料归档",职位是内审主管，内容围绕审计、整改跟进和资料归档，没有出现软件、数据分析、自动化、AI等数字技术相关要求。,expert_prompt_v1_one_ad_per_request
43.0,0.0,审计；审计制度；审计报告；现场审计；资料归档,岗位主要是财务/内部审计与整改跟踪，没有涉及软件、数据分析、IT系统或AI等数字技术内容。,expert_prompt_v1_one_ad_per_request
44.0,0.0,金融产品; 银行业务; 保险; 证券; 信托; 信贷; 客户服务,岗位主要是综合金融客户经理，内容聚焦保险、证券、银行、信托等传统金融销售与服务，没有出现AI、数据分析、软件系统或数字化技术相关要求。,expert_prompt_v1_one_ad_per_request
45.0,1.0,电脑验收、升级、维修管理；固定资产管理；库存管理,岗位主要是行政/资产管理，但明确涉及电脑设备的验收、升级和维修，以及办公用品和库存的出入库管理，属于基础数字/IT设备管理内容，因此评为1分。,expert_prompt_v1_one_ad_per_request
46.0,1.0,"UG, CAD, 办公软件, SPC, APQP, PPAP, FMEA",岗位主要是项目/制造工程支持，包含CAD、UG等常规工业软件和质量管理工具，但没有数据分析或AI相关内容，属于基础数字/IT工具使用。,expert_prompt_v1_one_ad_per_request
47.0,1.0,"系统架构设计, 分布式, 高并发, 云计算, Java EE, Spring, Linux, Oracle, MySQL, New SQL, WebLogic, Tomcat, Apache, Nginx, UML",岗位主要是系统架构和软件开发，涉及分布式、高并发、云计算、数据库和Java等典型IT/数字化技术，但没有出现人工智能、机器学习或大模型等明确AI内容，因此评为1。,expert_prompt_v1_one_ad_per_request
48.0,1.0,电商平台、在线客服、客户信息资料管理、电话、邮件,岗位主要是电商客服和客户信息管理，涉及电商平台与基础数字沟通工具，但没有数据分析、编程或AI相关要求，因此归为基础数字/IT内容。,expert_prompt_v1_one_ad_per_request
49.0,1.0,办公软件、质量统计技术、数据分析、生产报表,岗位以车间生产管理、质量控制和工艺执行为主，没有AI或明显数字化系统要求；仅提到熟练操作办公软件、质量统计技术和数据分析，属于基础数字技能，因此判为1。,expert_prompt_v1_one_ad_per_request
51.0,1.0,"CAD, MATLAB, 设计软件, 办公软件, 技术资料整理",岗位以水冷板研发和工艺优化为主，包含CAD/MATLAB等设计软件使用和技术数据整理，属于基础数字/IT工具应用；未涉及数据分析、算法或AI相关内容。,expert_prompt_v1_one_ad_per_request
52.0,1.0,三维配管软件PDMS、应力计算软件、数据处理、办公软件,岗位主要是工程设计类工作，包含使用PDMS三维配管软件、应力计算软件和数据处理工具，属于基础数字化/专业软件应用，但没有数据分析、算法或AI相关内容。,expert_prompt_v1_one_ad_per_request
54.0,0.0,,岗位为行政主管，职责集中在行政事务、员工服务、采购、库存、文件管理和接待等传统管理工作，没有出现软件、数据、自动化、AI或数字化相关要求。,expert_prompt_v1_one_ad_per_request
55.0,0.0,无AI/数字化相关关键词；董事长秘书；机械行业经理助理；独立开车办事,职位要求主要是行政秘书、助理和出行办事能力，没有出现软件、IT、数据、自动化或AI相关内容，因此判为0。,expert_prompt_v1_one_ad_per_request
56.0,2.0,经营数据分析治理、系统性BI报表设计、管理数据支持模式、数据支持、营销工具,岗位明确涉及经营数据分析、BI报表设计和管理数据支持，属于较强的数据/数字化应用，但未出现AI、机器学习等明确人工智能内容。,expert_prompt_v1_one_ad_per_request
57.0,0.0,订单制作、资料和邮件收发、报表、单据、文件、合同传递,职位主要是业务支持、文档处理、生产协调和客户沟通，没有出现软件、数据分析、自动化、AI或其他数字技术相关要求。,expert_prompt_v1_one_ad_per_request
58.0,1.0,熟练使用办公软件,岗位主要是房地产开发、报批报建和项目管理，没有AI或数据分析内容；仅提到熟练使用办公软件，属于基础数字化/IT使用。,expert_prompt_v1_one_ad_per_request
59.0,0.0,企业文化制度、企业文化系统、网站稿件、宣传推广,岗位核心是企业文化建设、宣传和文案编辑，没有涉及IT、数据分析、自动化或AI等数字技术内容；“网站稿件”仅是内容发布相关，不构成数字技术要求。,expert_prompt_v1_one_ad_per_request
60.0,0.0,"保单整理, 资料变更录入, 理赔流程, 业务咨询, 售后客服, 追踪",岗位内容主要是保险客服、资料录入和理赔协助，属于传统业务运营与客服工作，没有明显的AI、数据分析或数字化技术要求。,expert_prompt_v1_one_ad_per_request
61.0,0.0,无明显AI/数字技术关键词；金融销售、客户经理、理财顾问、证券、保险、信托,岗位主要是金融销售与客户开发，不涉及软件、数据分析、数字化系统或人工智能相关内容，因此判定为0。,expert_prompt_v1_one_ad_per_request
62.0,0.0,,岗位内容主要是建筑装饰/幕墙/市政工程项目管理、施工组织、质量安全控制和协调管理，没有出现软件、数据、系统、自动化或AI相关技术内容。,expert_prompt_v1_one_ad_per_request
63.0,0.0,研发流程、设备操作、分析总结能力,岗位为制剂研发，主要涉及药学/化学研发和设备操作，没有出现软件、数据分析、编程、算法或人工智能等数字技术内容。,expert_prompt_v1_one_ad_per_request
64.0,0.0,办公软件,岗位以人事行政、档案管理、考勤核算、薪资和保险事务为主，仅提到熟练使用办公软件，没有涉及明确的IT系统、数据分析或AI技术内容。,expert_prompt_v1_one_ad_per_request
65.0,0.0,办公软件操作,岗位主要是车险查勘、定损和理赔工作，核心内容为线下业务与沟通协商，仅提到熟悉办公软件，未涉及明显AI或数字化技术内容。,expert_prompt_v1_one_ad_per_request
66.0,1.0,"office办公软件, 2D/3D设计软件, 生产绩效指标统计, 精益生产, PDCA/DMAIC",岗位以精益生产、现场改善和制造管理为主，涉及常规办公软件和2D/3D设计软件等基础数字工具，但没有数据分析编程、数字化转型或AI相关内容。,expert_prompt_v1_one_ad_per_request
67.0,0.0,,职位为招聘专员，描述仅涉及招聘事务，没有出现任何AI、数字化、软件、数据分析或IT相关内容。,expert_prompt_v1_one_ad_per_request
68.0,0.0,无AI/数字化相关关键词；医疗器械销售、跟台、客户关系维护、招投标、市场信息收集,岗位主要是医疗器械销售与临床支持，涉及销售、客户维护和招投标等传统业务内容，没有软件、数据、自动化、AI等数字技术要求。,expert_prompt_v1_one_ad_per_request
69.0,0.0,工艺优化实验；生产线执行；样品制作；工艺参数调整,岗位主要是车间工艺和生产流程优化，属于传统制造/工艺技术工作，没有明显的软件、数据分析、自动化系统或AI相关要求。,expert_prompt_v1_one_ad_per_request
70.0,1.0,线上化推动、平台维护,岗位以车险销售和门店对接为主，属于业务类职位；仅提到线上化推进和平台维护，体现基础数字化应用，但没有数据分析、算法或AI相关内容。,expert_prompt_v1_one_ad_per_request
71.0,0.0,无明显AI/数字化技术关键词；主要是金融、保险、健康、养老、法律、管理、培训、创业,职位内容以综合金融、保险、健康养老服务和管理培训为主，没有出现软件、数据、系统、云、算法或人工智能等数字技术相关要求。,expert_prompt_v1_one_ad_per_request
72.0,1.0,报表统计、数据统计、办公软件、基本的网络知识,岗位以生产统计、报表汇总和单据处理为主，涉及办公软件和基础网络知识，但没有数据分析工具、编程或AI相关内容，属于基础数字化/IT应用。,expert_prompt_v1_one_ad_per_request
73.0,1.0,"信息安全, 网络安全, ISO27001, 等级保护, 数据安全, 风险评估, 安全检查, 合规管理, 平台建设",岗位聚焦信息安全治理、网络安全合规、数据安全体系和平台建设，属于明确的IT/数字化安全管理内容，但未涉及AI、数据分析或算法技术，因此评为1分。,expert_prompt_v1_one_ad_per_request
74.0,1.0,人力资源系统、公司邮箱、Excel、信息录入、办公软件,岗位包含基础数字化/IT工具使用，如人力资源系统、邮箱开通、信息录入和Excel办公软件，但没有数据分析、编程或AI相关内容。,expert_prompt_v1_one_ad_per_request
75.0,1.0,"非标自动化, 自动化电气, solidworks, 建模, 工程图, 自动化设备机构设计",岗位涉及自动化设备设计、SolidWorks建模和电气基础，属于机械/工业自动化类数字化技术内容，但没有数据分析或AI相关内容。,expert_prompt_v1_one_ad_per_request
76.0,0.0,无明显AI/数字技术关键词；市场调研、收益测算、拓展方案、商务谈判、项目落地,岗位主要是物业市场拓展、政府/业主沟通、商务谈判和项目推进，未体现软件、数据分析、自动化或AI相关技术要求，属于传统业务拓展岗位。,expert_prompt_v1_one_ad_per_request
77.0,0.0,"线上案件, 定损, 跟踪调查, 理赔流程",岗位内容主要是汽车理赔、查勘定损和客户服务，没有出现软件、数据分析、编程、自动化或AI相关技术要求，属于非数字/非AI岗位。,expert_prompt_v1_one_ad_per_request
78.0,0.0,无AI/数字化相关关键词；客户维护、保全、理赔、保险代理,该岗位主要是综合金融/保险客户经理，职责集中在客户维护、业务办理和保险销售，没有软件、数据、数字化或AI相关内容。,expert_prompt_v1_one_ad_per_request
79.0,0.0,"电销, 内勤, 培训讲师, 团队管理, 销售技术",岗位以大客户销售、保险/理财推广、团队管理和销售培训为主，没有出现软件、数据、云、自动化或人工智能等数字技术相关内容。,expert_prompt_v1_one_ad_per_request
80.0,0.0,,职位主要是医疗器械销售与区域管理，涉及市场开拓、渠道管理和销售数据准确性，但没有明确的软件、数据分析、AI或数字化技术要求。,expert_prompt_v1_one_ad_per_request
81.0,0.0,"机电设备, 维修保养, 能源管理, 技防, 水电消防, 外判工程",岗位主要是物业工程与设备运维管理，涉及机电、维修保养、能源和安防等传统工程内容，没有明显的软件、数据或AI技术要求，因此判为0。,expert_prompt_v1_one_ad_per_request
83.0,0.0,,职位为采购员，仅描述采购经验和工作地点，没有出现任何AI、数字化、软件、数据分析或IT相关内容。,expert_prompt_v1_one_ad_per_request
84.0,1.0,"电商运营, 天猫店铺, 淘宝搜索SEO, 广告投放, 直通车(CPC), 钻石展位(CPM), 数据指标（流量、点击率、转化率）",岗位主要是电商平台运营和营销推广，涉及SEO、广告投放和转化率等数字化运营内容，但没有数据分析、编程或人工智能相关要求，属于基础数字/IT应用层面。,expert_prompt_v1_one_ad_per_request
85.0,1.0,数字化营销工具、宣传图片、宣传视频、官网维护与更新、PS,岗位涉及数字化营销素材制作和官网维护，属于基础数字工具/IT应用，但没有数据分析、算法或AI相关内容。,expert_prompt_v1_one_ad_per_request
86.0,1.0,清洁机械化、管理工具、专业管理提效、供方管理,岗位主要是物业环境/绿化管理，属于传统业务管理；仅提到清洁机械化和管理工具等一般数字化或自动化相关内容，没有数据分析、软件系统或AI技术要求。,expert_prompt_v1_one_ad_per_request
87.0,1.0,数据负责、成交量、指标周述职、月述职,岗位以渠道运营、项目物料、佣金和门店拓展为主，带有一定业务数据统计与指标管理，但没有明显的AI、编程、数据分析工具或数字化系统要求，属于基础数字化/IT相关程度。,expert_prompt_v1_one_ad_per_request
88.0,0.0,工程招投标、成本分析、报价编制、费用控制,岗位主要是工程造价、招投标和成本管控，没有出现软件、数据分析、自动化、AI等数字技术相关要求，属于传统工程管理类。,expert_prompt_v1_one_ad_per_request
89.0,0.0,"销售主管, 市场开发, 客户维护, 销售管理, 产品宣传推广, 销售计划",职位内容主要是销售、市场开发和客户维护，没有出现软件、数据、自动化、AI或其他数字技术相关要求，因此判为0。,expert_prompt_v1_one_ad_per_request
90.0,1.0,京东自营平台、咚咚、微信、电话、系统录入、对账,岗位主要是电商客服与售后支持，涉及平台工具使用、系统录入和对账等基础数字化操作，但没有数据分析、编程或AI相关要求。,expert_prompt_v1_one_ad_per_request
91.0,1.0,网络管理、办公设备维护、监控系统、广播系统、ERP系统、网站/邮箱/公众号维护、数据备份,岗位主要是网络和信息系统运维，涉及ERP、网站、邮箱和数据备份等基础数字化IT工作，但没有数据分析、算法或AI相关内容。,expert_prompt_v1_one_ad_per_request
92.0,0.0,无明显AI/数字技术关键词；客户经理、信用卡推广、市场分析、客户服务、营销技巧,岗位主要是银行信用卡销售与客户维护，属于传统金融营销/客户服务工作，没有涉及软件、数据、自动化、AI或其他数字技术要求。,expert_prompt_v1_one_ad_per_request
93.0,1.0,办公软件、Office、客户信息整理,岗位以销售和客户跟进为主，没有AI或数据分析内容；仅提到基本办公软件操作，属于基础数字化技能。,expert_prompt_v1_one_ad_per_request
94.0,0.0,渠道开发、市场扫描、渠道管理、趋势分析,职责主要是渠道开发与管理、市场扫描和业务推广分析，没有出现软件、数据工具、算法或AI相关内容，属于传统业务岗位。,expert_prompt_v1_one_ad_per_request
95.0,0.0,,职位主要是质量管理、品质审核、流程改善和KPI管理，没有出现AI、数据分析、软件系统或其他数字技术相关要求。,expert_prompt_v1_one_ad_per_request
96.0,0.0,无明显AI/数字化技术关键词；电话销售、金融产品、客户信息、电话营销,岗位主要是电话销售和金融产品营销，不涉及软件、数据、系统、AI或其他数字技术要求，属于非数字技术岗位。,expert_prompt_v1_one_ad_per_request
97.0,0.0,,职位主要是模具加工计划、产能协调和交期管理，未涉及软件、数据、自动化、AI或其他明显数字技术内容。,expert_prompt_v1_one_ad_per_request
98.0,1.0,"技术支持, 电源管理芯片, FAE, 产品推广, 现场应用, 研发反馈",岗位涉及芯片产品、现场应用支持和技术推广，属于电子/IT相关技术工作，但没有数据分析、算法或AI相关内容，因此评为基础数字/IT类。,expert_prompt_v1_one_ad_per_request
99.0,1.0,计算机工程、通信、自动控制、TCP/IP、路由协议、2/3层交换、IPSec、防火墙、VPN、防病毒、IDS/IPS、技术支持、售前,该岗位主要是网络安全产品的售前技术支持，涉及IT/网络与安全技术，但没有数据分析、算法或AI相关内容，属于基础数字/IT类。,expert_prompt_v1_one_ad_per_request
100.0,1.0,制图及分析软件、数据分析、质量数据、SPC、FMEA、APQP、PPAP、ISO9001,岗位以质量管理和流程改进为主，包含数据分析和各类质量管理软件/方法（如SPC、FMEA、APQP），但没有明显的AI、机器学习或高级数字化开发内容，属于基础数字/IT相关。,expert_prompt_v1_one_ad_per_request
101.0,0.0,,岗位为幼儿教师，职责集中在教学、家长沟通、班级管理和教研活动，没有软件、数据、系统、AI或数字化技术相关要求。,expert_prompt_v1_one_ad_per_request
103.0,0.0,,岗位内容为质量检验、记录填写、仪器设备管理和试剂管理，属于传统QC/实验室质检工作，没有AI、数据分析、软件系统或数字化技术相关要求。,expert_prompt_v1_one_ad_per_request
105.0,0.0,无AI/数字化相关关键词；学徒工、操作工、应届生、五险一金,岗位是普通操作工学徒，不涉及软件、数据、信息系统或人工智能等数字技术内容。,expert_prompt_v1_one_ad_per_request
106.0,0.0,,职位内容主要是OTC销售、药店开发、连锁门店活动和销售管理，没有出现AI、数据分析、软件系统、自动化或其他数字技术相关要求。,expert_prompt_v1_one_ad_per_request
107.0,1.0,电脑办公系统,岗位主要是公共卫生管理与卫生防疫工作，没有AI或数据分析内容；仅提到熟练使用电脑办公系统，属于基础数字化/办公软件使用。,expert_prompt_v1_one_ad_per_request
108.0,1.0,电脑操作；信息收集统计；数据跟踪,岗位主要是车商客户维护和销售支持，未涉及AI或高级数据技术；仅要求熟悉电脑操作，并有基础的信息统计和数据跟踪，属于基础数字化内容。,expert_prompt_v1_one_ad_per_request
109.0,1.0,微信群、线上线下联和经营、系统培训学习,岗位主要是客户服务和销售经营，没有AI或数据分析内容；仅出现微信群、线上线下经营和系统培训等一般数字化/IT相关表述，属于基础数字工具使用。,expert_prompt_v1_one_ad_per_request
110.0,0.0,,岗位为招聘专员，主要是招聘、面试、供应商管理、报表和人才储备等人力资源工作，没有明确的软件、数据、IT或AI相关内容。,expert_prompt_v1_one_ad_per_request
111.0,0.0,"采购, 供应商评估, 成本分析, 贴片机, AI机",岗位核心是设备/配件采购与供应商管理，没有AI、数据分析、软件开发或数字化转型等要求；描述中的“AI机”指的是电子制造设备名称，不是人工智能内容。,expert_prompt_v1_one_ad_per_request
112.0,0.0,"EHS, 环保, 法律法规, 安全管理",岗位内容主要是EHS/环保与安全合规管理，没有涉及AI、数字化、信息系统、数据分析或软件技术相关要求。,expert_prompt_v1_one_ad_per_request
113.0,0.0,"产品经理, 市场调查, 消费者调研, 产品数据表, 手册, 推广指南",岗位主要是新产品规划、市场营销、渠道管理和消费者调研，没有出现软件、数据分析、IT系统、AI或数字化技术相关要求；提到的“产品数据表”是营销资料，不属于数字技术内容。,expert_prompt_v1_one_ad_per_request
114.0,0.0,"质量控制, 质量体系, 风险分析, 评审, 医疗器械, GMP, 客诉调查, 技术指导",岗位主要是医疗器械质量工程与质量管理，涉及风险分析、质量体系和检验标准，但没有明显的软件、数据、自动化或AI相关内容。,expert_prompt_v1_one_ad_per_request
115.0,1.0,经营报表过程管理体系、月度运营会、预算达成、滚动预测、同环比分析、报告输出、知识管理,岗位主要是财务运营与经营分析，涉及报表管理、预算预测和数据分析，但没有出现AI、大数据、编程或明确的数字化技术栈，因此归为基础数字/IT相关中的低强度管理分析类。,expert_prompt_v1_one_ad_per_request
116.0,1.0,"MES, CAD, UG, FMEA, DOE, Process Flow Chart, Traceability, system, database/label printing",岗位以工艺工程、制程优化和NPI为主，包含MES标签、工艺系统维护、CAD/UG等数字化工具和制造系统应用，但没有人工智能、机器学习或大模型等明确AI内容，因此归为基础数字/IT内容。,expert_prompt_v1_one_ad_per_request
117.0,1.0,软件测试、系统平台、兼容性测试、回归测试、软件打包、installshield/Inno/Nsis、工业监控组态软件、PLC,岗位主要涉及软件测试、系统兼容性、打包维护和工业控制软件/PLC应用，属于基础数字化/IT类工作，但没有数据分析或AI相关内容。,expert_prompt_v1_one_ad_per_request
118.0,0.0,临床研究、医学信息情报收集、文献检索、CRO、临床试验,岗位主要是医学/药学与临床研究管理、医学撰写和信息收集，没有明确的软件、数据分析、数字化系统或AI相关内容。,expert_prompt_v1_one_ad_per_request
120.0,0.0,无AI/数字技术相关关键词；锂电池行业销售、沟通表达、抗压,职位主要是锂电池相关行业销售/业务拓展要求，描述中没有软件、数据、系统、自动化或人工智能等数字技术内容，因此判为0分。,expert_prompt_v1_one_ad_per_request
121.0,1.0,数控机床、激光切割机、设备维护、设备管理、维修保养,岗位主要是机械设备维修和维护管理，包含数控机床等工业设备的使用与保养，属于基础数字/工业自动化相关内容，但没有数据分析或AI技术要求。,expert_prompt_v1_one_ad_per_request
122.0,1.0,"客户信息搜集, 客户档案分析, 销售分析数据, 电脑/办公系统(implicit)",岗位以区域销售和客户管理为主，没有AI或数据技术岗位要求；仅提到对客户档案进行分析、整理和销售分析数据，属于基础数字化/信息整理内容，故评为1。,expert_prompt_v1_one_ad_per_request
