id,公司名称,关联公司名称,岗位,岗位描述,岗位标签,待遇,学历,所在城市,发布时间
11,贵州燃气集团股份有限公司,贵州燃气集团股份有限公司,(GRJQ-242302)现场代表,"<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位类别：专业技术岗学历学位要求：大学本科及以上专业要求：工程造价、安全工程、新能源科学与工程、材料科学与工程、油气储运工程、土木工程、电气工程及其自动化等专业职业资格要求：1.40周岁及以下,持C1驾驶证；2.具有一定的工作经验，有良好的计划、组织、沟通、解决问题的能力，熟练使用CAD及常用办公软件，品行端正，能吃苦、无犯罪记录，服从公司安排；3.持相关中级职称或二级建造师证书。                                    招聘人数：1人工作地点：贵州遵义市招聘方式：社会招聘",,,本科,遵义市,2024-11-20 00:00:00
12,中国平安财产保险股份有限公司广东分公司,中国平安财产保险股份有限公司广东分公司,营销支持专员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        工作内容：<$&0005&$>1、对现有合作渠道提供运营服务，包括批改批退、报错处理、系统测试、融通沟通等                                                         2、成本日常管理、双安费用结算、报销工作等                                                             3、前端咨诉件协同处理、消费者权益保护工作4、协议签订、归档管理5、内部项目推动等领导交代的其他工作      任职要求：  1、本科及以上，经验不限2、基础数据分析能力3、善于沟通，耐心、细心，爱学习可发送简历至lilijuan006@pingan.com.cn,,5-8千・16薪,本科,广州市,2023-03-15 00:00:00
13,江苏远航精密合金科技股份有限公司,江苏远航精密合金科技股份有限公司,融资会计/主办会计,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>男女不限，28-38岁，财务专业或有关类似工作岗位经验，主要负责银行融资板块的转贷相关工作及公司资金的统筹调配。任职资格：1、有扎实的财务基础知识；2、熟悉银行信贷业务；3、有较强的协调沟通能力；4、有上进心、责任心，有一定的抗压能力；5、有良好的思想品德素养；6、服从公司统一安排。,,,,无锡市,2017-01-21 00:00:00
14,江苏常青树新材料科技股份有限公司,江苏常青树新材料科技股份有限公司,行政内勤,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1、 配合行政经理做好各项行政管理工作；2、做好日常接待工作；3、具备较强的文案功底，能熟练起草、拟核、编写各类办公文件、材料，负责日常会务工作，做好办公会、专题工作会等会议记录、会议纪要的整理、归档； 岗位要求：1、大专及以上学历，待人接物有礼有节，做事细致，责任心强，有担当；2、悉行政、办公室管理相关工作流程，良好的沟通、协调和组织能力；3、熟练使用各类办公软件。,,3-4.5千/月,大专,镇江市,2022-02-27 00:00:00
15,中国平安人寿保险股份有限公司湖南分公司,中国平安人寿保险股份有限公司湖南分公司,保单售后整理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1、热爱工作，心态积极向上，有一定的学习能力。岗位职责：2、根据销售部提供的信息，为客户提供产品支持和解决方案。,,6千-1万,中技,长沙市,2023-06-15 00:00:00
16,中国平安财产保险股份有限公司中山中心支公司,中国平安财产保险股份有限公司中山中心支公司,客服理赔部现场作业岗（农）,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        （一）岗位要求：1、农、林、牧、渔相关专业，***本科以上学历；2、一年（含）以上的畜牧、农技工作经验优先考虑；3、具备较强的沟通能力、逻辑分析能力、落地执行能力、责任心强；4、熟悉农情，有C1驾照，能吃苦耐劳，抗压能力较强。（二）工作职责：1、协助客户处理事故的全流程理赔指引，指导客户填写及收集索赔资料；2、解答客户理赔咨询问题，为客户提供优质的理赔服务；3、负责完成公司内部的理赔全流程工作；4、风险案件现场走访调查；5、执行公司理赔政策及服从领导工作安排。（三）福利：1、现金福利：节日费、取暖/降温费2、补充保险：员工综合保障计划、高端医疗保障计划、企业年金计划3、假期福利：年休假、特殊奖励假、特殊岗位考试假、妇女节、青年节、义务献血假、婚假、产假、哺乳假等4、工会福利：每月定期组织篮球、羽毛球等俱乐部活动5、激励：实物奖励、旅游激励,农险专业<$&0007&$>保险,6千-1.2万,本科,中山市,2023-03-20 00:00:00
17,江苏晟楠电子科技股份有限公司,江苏晟楠电子科技股份有限公司,质量检验员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        职责一、协助质量管理部部长制定公司年度质量计划，并负责实施；职责二、负责整理质量记录、质量信息；职责三、准确向质量管理部部长和相关部门传递有关质量检验信息；职责四、负责对产品交货前的原材料、半成品或成品质量检验；职责五、参与对新、老供应商的评价；职责六、参与现场标识状态管理；职责七、参与建立产品质量管理档案，参与产品质量改进分析；职责八、部门负责人交办的其他工作任务；,qc<$&0007&$>质检<$&0007&$>质量<$&0007&$>质检员,4.5-6千/月,大专,泰州市,2021-11-08 00:00:00
18,广东豪美新材股份有限公司,广东豪美新材股份有限公司,策略招聘（招聘经理）,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1、根据集团公司招聘计划，开展招聘工作，与各部门保持密切沟通，在规定时间内完成招聘任务；2、根据公司整体招聘规划，制定招聘渠道的方案计划并组织实施、后期跟踪，负责公司中高端岗位招聘；3、开拓、建设和维护校企关系，推动校园招聘的各项工作实施；4、建立人才储备机制，储备公司发展需要人才。岗位要求：1、大专或以上学历，专业不限，猎头可优先考虑；2、具5年以上生产制造型企业职员招聘工作经验，擅长中高端人才招聘工作；3、沟通表达能力良好，计划性强，团队合作意识强，成就导向。,招聘<$&0007&$>猎头<$&0007&$>岗位招聘<$&0007&$>招聘规划<$&0007&$>校园招聘,1-1.5万,大专,清远市,2023-09-26 00:00:00
19,广东豪美新材股份有限公司,广东豪美新材股份有限公司,策略招聘（招聘经理）,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1、根据集团公司招聘计划，开展招聘工作，与各部门保持密切沟通，在规定时间内完成招聘任务；2、根据公司整体招聘规划，制定招聘渠道的方案计划并组织实施、后期跟踪，负责公司中高端岗位招聘；3、开拓、建设和维护校企关系，推动校园招聘的各项工作实施；4、建立人才储备机制，储备公司发展需要人才。岗位要求：1、大专或以上学历，专业不限，猎头可优先考虑；2、具5年以上生产制造型企业职员招聘工作经验，擅长中高端人才招聘工作；3、沟通表达能力良好，计划性强，团队合作意识强，成就导向。,招聘<$&0007&$>猎头<$&0007&$>岗位招聘<$&0007&$>招聘规划<$&0007&$>校园招聘,1-1.5万,大专,清远市,2023-09-26 00:00:00
20,江苏龙蟠科技股份有限公司,江苏龙蟠科技股份有限公司,摩油销售-南区,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1.开发并维护经销商渠道，协助、组织、培训区域内经销商开拓市场；2.向南区各级客户传达销售政策，并参与、指导、监督其执行；3.负责区域内竞品等市场信息收集上报、品牌基础建设工作。任职资格：1.本科学历，市场营销、工商管理等专业优先；2.具备3年以上销售经验，接受出差，摩配行业优先；3.熟悉渠道管理模式和掌握基础的市场营销知识。,渠道销售,0.5-1万/月,本科,南京市,2021-09-16 00:00:00
21,烟台睿创微纳技术股份有限公司,烟台睿创微纳技术股份有限公司,资深技术员（倒班）,岗位职责：1.负责半导体晶圆生产工作，包括光刻，薄膜，刻蚀，湿法等步骤。2.支持产线生产，满足产出要求，保障产品质量，做好洁净室的6S等。3.协助研发部门完成相关工作。任职要求：1.大专及以上学历，电子类专业。2.有半导体晶圆厂工作经验，熟悉上述任一模组者优先。3.工作态度端正，认真细致。4.能接受倒班。,电子刻蚀产品质量薄膜湿法产线生产光刻,7千-1.1万,大专,无锡市,2025-05-22
22,广东温氏食品集团股份有限公司,广东温氏食品集团股份有限公司,财务会计,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>岗位职责 1、协助财务主任完成预算、审核、监督工作，按照公司及政府有关部门要求及时编制各种财务报表并报送相关部门； 2、负责员工报销费用的审核、凭证的编制和登帐； 3、对已审核的原始凭证及时填制记帐； 4、准备、分析、核对税务相关问题； 5、审计合同、制作帐目表格。 任职资格 1、财务、会计专业本科以上学历，持有会计证； 2、有财务会计工作经历者优先； 3、熟悉会计报表的处理，会计法规和税法，熟练使用财务软件； 4、良好的学习能力、独立工作能力和财务分析能力； 5、工作细致，责任感强，良好的沟通能力、团队精神。薪酬福利： 1、本科毕业生首年年薪6-8万，另设总裁创新奖、管理创新奖、优秀员工等众多奖项，为优秀人才提供最具竞争力的待遇条件。 2、公司为员工提供五险+额外商业保险、带薪年假、法定节假日休假及节日慰问金、住房补贴、免费旅游等福利；,,6-10万/年,本科,朝阳市,2017-09-20 00:00:00
23,成都秦川物联网科技股份有限公司,成都秦川物联网科技股份有限公司,算法工程师,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1、 热爱公司，服从上级领导安排，遵守公司的各项管理制度，自觉维护公司利益；2、 根据团队要求，独立规划并完成所承担的研发等相关任务；3、基于项目控制任务要求，独立完成相应控制算法设计、算法实现及设备调试工作；4、负责项目控制系统需求分析、控制系统详细设计、控制系统仿真分析、测试方案设计；5、负责项目运动控制系统及控制算法设计、分析、实现与测试；6、撰写相关技术文档，指导协调项目工程师完成工作，根据各职能工程师反馈结果更新设计；7、积极挖掘和撰写专利；8、积极完成上级领导安排的临时任务。任职条件：1、本科（含）以上学历，计算机、数学、电子等相关专业。3年以上精密运动产品研发或具有相关项目经验的优秀应届硕士毕业生；2、具有一定的C/C++/Python编程与算法实现能力，深入了解实时系统；3、掌握自动化控制，机电机械装备、电气系统及其工作原理，具有机电装备运行调试、自动控制编程与实现等经验；4、具有扎实的数学功底，思路清晰；有很强的探索欲望与学习能力；良好的语言以及文字表达能力，善于编写技术文档；5、有多接点控制系统研发经验优先，熟悉控制系统IO延迟及处理方法优先。工作地址：成都市龙泉驿区经开区南四路931号（导航车城西一路经开区职工之家500米）公司在 二号线地铁站 设定“定制巴士”，上下班接送；公司免费提供食宿；,算法<$&0007&$>C/C++<$&0007&$>Python编程,0.8-1.5万/月,本科,成都市,2021-01-06 00:00:00
24,广东驱动力生物科技股份有限公司,广东驱动力生物科技股份有限公司,功能食品销售+周末双休+六险一金,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>岗位职责：1、主要负责：高端补血鸡蛋的市场销售2、开发拓展功能性食品的市场渠道3、开发维护客户关系4、对订单的执行情况进行跟踪与反馈5、收集同行业市场信息，并及时反馈公司任职要求：1、专科以上学历，专业不限2、1年以上销售工作经验3、保健食品、功能食品、保险、房地产销售经验优先4、具备挑战市场高薪的勇气胆识，良好销售谈判技巧及沟通能力薪酬：底薪+费用+提成，年度综合薪酬9万起，上不封顶，相关产品管理经验者面议福利：周末双休六险一金通讯补贴生日礼金节日福利员工旅游定期体检股票期权,直销销售,8-10万/年,,广州市,2019-04-26 00:00:00
25,深圳市南极光电子科技股份有限公司,深圳市南极光电子科技股份有限公司,工艺工程师（万载南极光上班）,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        一、岗位职责：1、生产流程制定与维护；2、作业SOP制定与维护；3、不良品分析与维修作业管理；4、良率提升、效率提升；5、员工作业标准稽核与考核，标准工时的制定；6、效率制定与维护；7、公司领导或部门领导临时安排的其他工作。二、任职要求：1、男女不限，20-38岁，大专以上学历，电子、机电、自动化等相关专业；2、熟练运用电脑办公软件；3、工作经验，熟悉背光，模组生产工艺以及产品性能及结构，异常分析、处理；4、技术创新能力，改进和优化生产工艺及自动化工艺，推广实施；5、改善提升能力，分析产品良率效率，制定预防、改善措施并实施。6、良好的沟通能力，推动实施及学习能力强，有团队协作能力；7、具有进取精神和创新思维，动手能力强，高度的责任心；8、有背光，模组项目管理相关经验者优先。9、熟悉行业标准及工艺流程；上班地点：江西宜春万载南极光，请审慎确认工作地点后再投递简历,化工<$&0007&$>自动化<$&0007&$>化工<$&0007&$>自动化<$&0007&$>电子<$&0007&$>自动化<$&0007&$>良率提升<$&0007&$>机电<$&0007&$>生产流程<$&0007&$>不良品分析<$&0007&$>电脑办公软件<$&0007&$>背光<$&0007&$>技术创新<$&0007&$>标准工时制定,7千-1万,大专,宜春市,2023-11-04 00:00:00
26,珠海安联锐视科技股份有限公司,珠海安联锐视科技股份有限公司,工艺审单员,岗位职责：1、负责订单审核；2、负责工艺卡制作；3、负责标签丝印制作；4、负责物料认可；5、负责异常咨询及处理；6、其他部门相关工作。岗位要求：1、大专以上学历；2、1年以上工作经验；3、具有优秀的协调沟通能力和学习能力，做事仔细，心态良好；4、具备较强的责任心和团队精神，积极主动能够迅速适应新的工作环境，能承受一定工作压力，能够接受长期加班；5、熟悉电脑操作，MicrosoftOffice办公软件和ERP软件；6、有审单工作经验优先录取。工作待遇：1.上班时间周一至周五8：30到17：30，但绝大多数情况工作时间为周一至周六8：30到20：30，多余部分按照加班费计算；2.公司提供六险一金，入职后即开始缴纳；3.公司提供免费三餐及员工宿舍；4.公司定期举办员工趣味活动；5.对于无相关经验上岗的，公司会安排相关培训及指导。,erp软件订单审核工艺卡制作物料认可,5-6千,大专,珠海市,2025-08-29
27,江阴江化微电子材料股份有限公司,江阴江化微电子材料股份有限公司,安全员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        具备中级及以上化工专业技术职称或化工安全类注册安全工程师资格优先。1.目标指标   1.1协助部长拟定安环目标指标并分解到各部门   1.2根据目标指标参与建立各种安环管理制度   2、部门工作划分   2.1协助部长制定本部门的工作制度   2.2科室内工作分工的规划   2.3科室内工作计划制定   3、监督考核   3.1统计和报告公司各类安全环保绩效的完成情况   4、合规性评价   4.1协助审核公司执行法律法规的符合性   4.2传达公司合规性信息   5、安评报告编制   5.1配合第三方编制评价报告   5.2审核公司相关职能部门提供相关信息的准确性   6、安评报告评审   6.1参加专家进行评审   6.2督促和追踪整改完成情况   7、试生产备案   7.1联系第三方编制试生产报告   7.2审核公司相关部门提供试生产方案的准确性   7.3参与试生产方案评审   7.4协助部长完成试生产备案   8、重大危险源管理   8.1实施重大危险源登记   8.2检查重大危险源管理制度的执行情况   9、安全文化建设   9.1对接外部广告公司和公司部门需求制作各类警示和标志牌   9.2核对各种国家规范要求和实际设定内容   10、安环证照管理   10.1协助部长办理安全生产许可证   10.2负责办理危险化学品经营许可证   10.3负责办理易制毒经营许可证   10.4办理易制毒化学品生产备案证   10.5协助部长证件定期换证   11、安全检查   11.1协助部长组织综合性安全生产大检查   11.2对查出的隐患提出整改措施   11.3监督相关部门进行整改   11.4统计相关部门整改完成情况并报告   12、收集各部门巡检时发现的事故隐患   12.1对收集的隐患进行分类   12.2监督消除隐患   13、消防管理   13.1跟进消防施工情况，掌握进程   13.2联系其他单位提供消防验收相关材料填报   13.4联系消防检测   13.5督促消防检测不符合项整改   13.6消防验收材料送交住建部门   13.7督促消防验收不符合项整改   14、消防制度管理   14.1确定逐级消防安全责任   14.2批准实施消防安全管理制度   14.3批准保障消防安全的操作规程   15、消防检查管理    16、消防预案和训练    17组织实施年度消防维保   18、应急管理    19、事故预案演练    20、制定年度环安培训计划并检查实施   21、事故调查管理     22、事故报告   23、领导交代的其他事项。 ,安全工程师<$&0007&$>安全管理<$&0007&$>安全员<$&0007&$>安全<$&0007&$>ehs<$&0007&$>环保<$&0007&$>消防,0.7-1.4万/月,本科,镇江市,2021-11-19 00:00:00
28,江阴江化微电子材料股份有限公司,江阴江化微电子材料股份有限公司,安全员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        具备中级及以上化工专业技术职称或化工安全类注册安全工程师资格优先。1.目标指标   1.1协助部长拟定安环目标指标并分解到各部门   1.2根据目标指标参与建立各种安环管理制度   2、部门工作划分   2.1协助部长制定本部门的工作制度   2.2科室内工作分工的规划   2.3科室内工作计划制定   3、监督考核   3.1统计和报告公司各类安全环保绩效的完成情况   4、合规性评价   4.1协助审核公司执行法律法规的符合性   4.2传达公司合规性信息   5、安评报告编制   5.1配合第三方编制评价报告   5.2审核公司相关职能部门提供相关信息的准确性   6、安评报告评审   6.1参加专家进行评审   6.2督促和追踪整改完成情况   7、试生产备案   7.1联系第三方编制试生产报告   7.2审核公司相关部门提供试生产方案的准确性   7.3参与试生产方案评审   7.4协助部长完成试生产备案   8、重大危险源管理   8.1实施重大危险源登记   8.2检查重大危险源管理制度的执行情况   9、安全文化建设   9.1对接外部广告公司和公司部门需求制作各类警示和标志牌   9.2核对各种国家规范要求和实际设定内容   10、安环证照管理   10.1协助部长办理安全生产许可证   10.2负责办理危险化学品经营许可证   10.3负责办理易制毒经营许可证   10.4办理易制毒化学品生产备案证   10.5协助部长证件定期换证   11、安全检查   11.1协助部长组织综合性安全生产大检查   11.2对查出的隐患提出整改措施   11.3监督相关部门进行整改   11.4统计相关部门整改完成情况并报告   12、收集各部门巡检时发现的事故隐患   12.1对收集的隐患进行分类   12.2监督消除隐患   13、消防管理   13.1跟进消防施工情况，掌握进程   13.2联系其他单位提供消防验收相关材料填报   13.4联系消防检测   13.5督促消防检测不符合项整改   13.6消防验收材料送交住建部门   13.7督促消防验收不符合项整改   14、消防制度管理   14.1确定逐级消防安全责任   14.2批准实施消防安全管理制度   14.3批准保障消防安全的操作规程   15、消防检查管理    16、消防预案和训练    17组织实施年度消防维保   18、应急管理    19、事故预案演练    20、制定年度环安培训计划并检查实施   21、事故调查管理     22、事故报告   23、领导交代的其他事项。 ,安全工程师<$&0007&$>安全管理<$&0007&$>安全员<$&0007&$>安全<$&0007&$>ehs<$&0007&$>环保<$&0007&$>消防,0.7-1.4万/月,本科,镇江市,2021-11-19 00:00:00
29,浙江泰福泵业股份有限公司,浙江泰福泵业股份有限公司,生产计划专员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        制造业，相关岗位工作1年以上。,,4-6千,大专,台州市,2023-02-28 00:00:00
